name,year,committee,region,cleanedName,cleanedRegion,Continent
Pablo Rodriguez,2009,Organizing,"Telefonica Research, Spain",Pablo Rodriguez,"Telefonica Research, Spain",EU
Ernst Biersack,2009,Organizing,"Eurecom, France",Ernst Biersack,"Eurecom, France",EU
Konstantina  Papagiannaki,2009,Organizing,"Intel Labs Pittsburgh, USA",Konstantina  Papagiannaki,"Intel Labs Pittsburgh, USA",NorAm
Luigi Rizzo,2009,Organizing,"Universit� di Pisa, Italy",Luigi Rizzo,"Universit di Pisa, Italy",EU
Christophe Diot,2009,Organizing,"Thomson, France",Christophe Diot,"Thomson, France",EU
Dolors Sala,2009,Organizing,"Universitat Pompeu Fabra, Spain",Dolors Sala,"Universitat Pompeu Fabra, Spain",EU
Jaudelice de Oliveira,2009,Organizing,"Drexel University, USA",Jaudelice de Oliveira,"Drexel University, USA",NorAm
Balachander Krishnamurthy,2009,Organizing,AT&T Labs,Balachander Krishnamurthy,AT&T Labs,NorAm
Ant Rowstron,2009,Organizing,"Microsoft Research, UK",Ant Rowstron,"Microsoft Research, UK",EU
Laurent Mathy,2009,Organizing,"Lancaster University, UK",Laurent Mathy,"Lancaster University, UK",EU
Joel Sommers,2009,Organizing,"Colgate University, USA",Joel Sommers,"Colgate University, USA",NorAm
Nick Feamster,2009,Organizing,"Georgia Tech, USA",Nick Feamster,"Georgia Tech, USA",NorAm
Renata Teixeira,2009,Organizing,"CNRS and UPMC, France",Renata Teixeira,"CNRS and UPMC, France",EU
Jordi Domingo,2009,Organizing,"Universitat Polit�cnica de Catalunya, Spain",Jordi Domingo,"Universitat Politcnica de Catalunya, Spain",EU
Athina Markopoulou,2009,Organizing,"UC Irvine, USA",Athina Markopoulou,"UC Irvine, USA",NorAm
Dejan Kostic,2009,Organizing,"EPFL, Switzerland",Dejan Kostic,"EPFL, Switzerland",EU
Serge Fdida,2009,Organizing,"Lip6, France",Serge Fdida,"Lip6, France",EU
Susanna Avessta,2009,Organizing,"DIMES Association, Finland",Susanna Avessta,"DIMES Association, Finland",EU
Javier Aracil,2009,Organizing,"Universidad Aut�noma de Madrid, Spain",Javier Aracil,"Universidad Autnoma de Madrid, Spain",EU
Sue Moon,2009,Organizing,"KAIST, Korea",Sue Moon,"KAIST, Korea",AS
Moritz Steiner,2009,Organizing,"Bell-Labs / Alcatel-Lucent, USA",Moritz Steiner,"Bell-Labs / Alcatel-Lucent, USA",NorAm
Shivkumar Kalyanaraman,2010,Organizing,"IBM Research, India",Shivkumar Kalyanaraman,"IBM Research, India",AS
Venkat Padmanabhan,2010,Organizing,"Microsoft Research, India",Venkat Padmanabhan,"Microsoft Research, India",AS
K.K. Ramakrishnan,2010,Organizing,"AT&T Labs Research, USA",K.K. Ramakrishnan,"AT&T Labs Research, USA",NorAm
Rajeev Shorey,2010,Organizing,"NIIT University, India",Rajeev Shorey,"NIIT University, India",AS
Geoffrey M. Voelker,2010,Organizing,"University of California, San Diego, USA",Geoffrey M. Voelker,"University of California, San Diego, USA",NorAm
Vinay Ribeiro,2010,Organizing,"IIT Delhi, India",Vinay Ribeiro,"IIT Delhi, India",AS
Sudipta Maitra,2010,Organizing,"IBM Daksh, India",Sudipta Maitra,"IBM Daksh, India",AS
Christophe Diot,2010,Organizing,"Technicolor, France",Christophe Diot,"Technicolor, France",EU
Jim Kurose,2010,Organizing,"University of Massachusetts, Amherst, USA",Jim Kurose,"University of Massachusetts, Amherst, USA",NorAm
Ranjita Bhagwan,2010,Organizing,"Microsoft Research, India",Ranjita Bhagwan,"Microsoft Research, India",AS
Sue Moon,2010,Organizing,"KAIST, South Korea",Sue Moon,"KAIST, South Korea",AS
Bhaskaran Raman,2010,Organizing,"IIT Bombay, India",Bhaskaran Raman,"IIT Bombay, India",AS
Neil Spring,2010,Organizing,"University of Maryland, College Park, USA",Neil Spring,"University of Maryland, College Park, USA",NorAm
Kevin Almeroth,2010,Organizing,"University of California, Santa Barbara, USA",Kevin Almeroth,"University of California, Santa Barbara, USA",NorAm
Huzur Saran,2010,Organizing,"IIT Delhi, India",Huzur Saran,"IIT Delhi, India",AS
Aaditeshwar Seth,2010,Organizing,"IIT Delhi, India",Aaditeshwar Seth,"IIT Delhi, India",AS
