name,year,committee,region,cleanedName,cleanedRegion,Continent,DirectMatch,FuzzyMatch,ApproximateDoctoralGradYear
Pablo Rodriguez,2009,Organizing,"Telefonica Research, Spain",Pablo Rodriguez,"Telefonica Research, Spain",Europe,,Male,2000
Ernst Biersack,2009,Organizing,"Eurecom, France",Ernst Biersack,"Eurecom, France",Europe,,Male,1988
Konstantina  Papagiannaki,2009,Organizing,"Intel Labs Pittsburgh, USA",Konstantina  Papagiannaki,"Intel Labs Pittsburgh, USA",North America,,Female,2003
Luigi Rizzo,2009,Organizing,"Universit� di Pisa, Italy",Luigi Rizzo,"Universit di Pisa, Italy",Europe,Male,Male,1998
Christophe Diot,2009,Organizing,"Thomson, France",Christophe Diot,"Thomson, France",Europe,Male,Male,1991
Dolors Sala,2009,Organizing,"Universitat Pompeu Fabra, Spain",Dolors Sala,"Universitat Pompeu Fabra, Spain",Europe,Female,Female,1998
Jaudelice de Oliveira,2009,Organizing,"Drexel University, USA",Jaudelice de Oliveira,"Drexel University, USA",North America,Female,Female,2003
Balachander Krishnamurthy,2009,Organizing,AT&T Labs,Balachander Krishnamurthy,AT&T Labs,North America,Male,Male,None
Antony Rowstron,2009,Organizing,"Microsoft Research, UK",Antony Rowstron,"Microsoft Research, UK",Europe,Male,Male,1996
Laurent Mathy,2009,Organizing,"Lancaster University, UK",Laurent Mathy,"Lancaster University, UK",Europe,Male,Male,2000
Joel Sommers,2009,Organizing,"Colgate University, USA",Joel Sommers,"Colgate University, USA",North America,Male,Male,2007
Nick Feamster,2009,Organizing,"Georgia Tech, USA",Nick Feamster,"Georgia Tech, USA",North America,Male,Male,2005
Renata Teixeira,2009,Organizing,"CNRS and UPMC, France",Renata Teixeira,"CNRS and UPMC, France",Europe,Female,Female,2005
Jordi Domingo,2009,Organizing,"Universitat Polit�cnica de Catalunya, Spain",Jordi Domingo,"Universitat Politcnica de Catalunya, Spain",Europe,Male,Male,1987
Athina Markopoulou,2009,Organizing,"UC Irvine, USA",Athina Markopoulou,"UC Irvine, USA",North America,Female,Female,2003
Dejan Kostic,2009,Organizing,"EPFL, Switzerland",Dejan Kostic,"EPFL, Switzerland",Europe,Male,Male,2005
Serge Fdida,2009,Organizing,"Lip6, France",Serge Fdida,"Lip6, France",Europe,Male,Male,1984
