name,year,committee,region,cleanedName,cleanedRegion,Continent,DirectMatch,FuzzyMatch,GenderGuesser
Pablo Rodriguez,2009,Organizing,"Telefonica Research, Spain",Pablo Rodriguez,"Telefonica Research, Spain",Europe,,Male,male
Ernst Biersack,2009,Organizing,"Eurecom, France",Ernst Biersack,"Eurecom, France",Europe,,Male,male
Konstantina  Papagiannaki,2009,Organizing,"Intel Labs Pittsburgh, USA",Konstantina  Papagiannaki,"Intel Labs Pittsburgh, USA",North America,,Female,female
Luigi Rizzo,2009,Organizing,"Universit� di Pisa, Italy",Luigi Rizzo,"Universit di Pisa, Italy",Europe,Male,Male,male
Christophe Diot,2009,Organizing,"Thomson, France",Christophe Diot,"Thomson, France",Europe,Male,Male,male
Dolors Sala,2009,Organizing,"Universitat Pompeu Fabra, Spain",Dolors Sala,"Universitat Pompeu Fabra, Spain",Europe,,,female
Jaudelice de Oliveira,2009,Organizing,"Drexel University, USA",Jaudelice de Oliveira,"Drexel University, USA",North America,Female,Female,unknown
Balachander Krishnamurthy,2009,Organizing,AT&T Labs,Balachander Krishnamurthy,AT&T Labs,North America,Male,Male,unknown
Ant Rowstron,2009,Organizing,"Microsoft Research, UK",Ant Rowstron,"Microsoft Research, UK",Europe,,,male
Laurent Mathy,2009,Organizing,"Lancaster University, UK",Laurent Mathy,"Lancaster University, UK",Europe,Male,Male,male
Joel Sommers,2009,Organizing,"Colgate University, USA",Joel Sommers,"Colgate University, USA",North America,Male,Male,male
Nick Feamster,2009,Organizing,"Georgia Tech, USA",Nick Feamster,"Georgia Tech, USA",North America,Male,Male,male
Renata Teixeira,2009,Organizing,"CNRS and UPMC, France",Renata Teixeira,"CNRS and UPMC, France",Europe,Female,Female,female
Jordi Domingo,2009,Organizing,"Universitat Polit�cnica de Catalunya, Spain",Jordi Domingo,"Universitat Politcnica de Catalunya, Spain",Europe,,,male
Athina Markopoulou,2009,Organizing,"UC Irvine, USA",Athina Markopoulou,"UC Irvine, USA",North America,Female,Female,female
Dejan Kostic,2009,Organizing,"EPFL, Switzerland",Dejan Kostic,"EPFL, Switzerland",Europe,Male,Male,male
Serge Fdida,2009,Organizing,"Lip6, France",Serge Fdida,"Lip6, France",Europe,Male,Male,male
Susanna Avessta,2009,Organizing,"DIMES Association, Finland",Susanna Avessta,"DIMES Association, Finland",Europe,,,female
Javier Aracil,2009,Organizing,"Universidad Aut�noma de Madrid, Spain",Javier Aracil,"Universidad Autnoma de Madrid, Spain",Europe,,,mostly_male
Sue Moon,2009,Organizing,"KAIST, Korea",Sue Moon,"KAIST, Korea",Asia,Female,Female,female
Moritz Steiner,2009,Organizing,"Bell-Labs / Alcatel-Lucent, USA",Moritz Steiner,"Bell-Labs / Alcatel-Lucent, USA",North America,Male,Male,male
Shivkumar Kalyanaraman,2010,Organizing,"IBM Research, India",Shivkumar Kalyanaraman,"IBM Research, India",Asia,Male,Male,unknown
Venkat Padmanabhan,2010,Organizing,"Microsoft Research, India",Venkat Padmanabhan,"Microsoft Research, India",Asia,,Male,male
K.K. Ramakrishnan,2010,Organizing,"AT&T Labs Research, USA",K.K. Ramakrishnan,"AT&T Labs Research, USA",North America,,Male,unknown
Rajeev Shorey,2010,Organizing,"NIIT University, India",Rajeev Shorey,"NIIT University, India",Asia,,,male
Geoffrey M. Voelker,2010,Organizing,"University of California, San Diego, USA",Geoffrey M. Voelker,"University of California, San Diego, USA",North America,,,male
Vinay Ribeiro,2010,Organizing,"IIT Delhi, India",Vinay Ribeiro,"IIT Delhi, India",Asia,,,male
Sudipta Maitra,2010,Organizing,"IBM Daksh, India",Sudipta Maitra,"IBM Daksh, India",Asia,,,female
Christophe Diot,2010,Organizing,"Technicolor, France",Christophe Diot,"Technicolor, France",Europe,Male,Male,male
Jim Kurose,2010,Organizing,"University of Massachusetts, Amherst, USA",Jim Kurose,"University of Massachusetts, Amherst, USA",North America,Male,Male,male
Ranjita Bhagwan,2010,Organizing,"Microsoft Research, India",Ranjita Bhagwan,"Microsoft Research, India",Asia,Female,Female,unknown
Sue Moon,2010,Organizing,"KAIST, South Korea",Sue Moon,"KAIST, South Korea",Asia,Female,Female,female
Bhaskaran Raman,2010,Organizing,"IIT Bombay, India",Bhaskaran Raman,"IIT Bombay, India",Asia,Male,Male,unknown
Neil Spring,2010,Organizing,"University of Maryland, College Park, USA",Neil Spring,"University of Maryland, College Park, USA",North America,Male,Male,male
Kevin Almeroth,2010,Organizing,"University of California, Santa Barbara, USA",Kevin Almeroth,"University of California, Santa Barbara, USA",North America,,Male,male
Huzur Saran,2010,Organizing,"IIT Delhi, India",Huzur Saran,"IIT Delhi, India",Asia,Male,Male,unknown
Aaditeshwar Seth,2010,Organizing,"IIT Delhi, India",Aaditeshwar Seth,"IIT Delhi, India",Asia,Male,Male,unknown
Sergey Gorinsky,2010,Organizing,"Madrid Institute for Advanced Studies in Networks (IMDEA Networks), Spain",Sergey Gorinsky,"Madrid Institute for Advanced Studies in Networks (IMDEA Networks), Spain",Europe,Male,Male,male
Carla-Fabiana Chiasserini,2010,Organizing,"Politecnico di Torino, Italy",Carla-Fabiana Chiasserini,"Politecnico di Torino, Italy",Europe,Female,Female,unknown
Krishna Sivalingam,2010,Organizing,"IIT Madras, India",Krishna Sivalingam,"IIT Madras, India",Asia,Male,Male,andy
Partha Dutta,2010,Organizing,"IBM Research, India",Partha Dutta,"IBM Research, India",Asia,Male,Male,unknown
B.N. Jain,2010,Organizing,"IIT Delhi, India",B.N. Jain,"IIT Delhi, India",Asia,Male,Male,unknown
Anurag Kumar,2010,Organizing,"IISc, Bangalore, India",Anurag Kumar,"IISc, Bangalore, India",Asia,Male,Male,unknown
Jaudelice de Oliveira,2010,Organizing,"Drexel University, USA",Jaudelice de Oliveira,"Drexel University, USA",North America,Female,Female,unknown
Srinivasan Keshav,2011,Organizing,"University of Waterloo, Canada",Srinivasan Keshav,"University of Waterloo, Canada",North America,Male,Male,unknown
Jörg Liebeherr,2011,Organizing,"University of Toronto, Canada",Jörg Liebeherr,"University of Toronto, Canada",North America,,,male
John Byers,2011,Organizing,"Boston University, USA",John Byers,"Boston University, USA",North America,,Male,male
Jeffrey Mogul,2011,Organizing,"HP Labs, USA",Jeffrey Mogul,"HP Labs, USA",North America,,,male
Yashar Ganjali,2011,Organizing,"University of Toronto, Canada",Yashar Ganjali,"University of Toronto, Canada",North America,Male,Male,male
Martin Karsten,2011,Organizing,"University of Waterloo, Canada",Martin Karsten,"University of Waterloo, Canada",North America,,,male
Ken Calvert,2011,Organizing,"University of Kentucky, USA",Ken Calvert,"University of Kentucky, USA",North America,,,male
Aditya Akella,2011,Organizing,"University of Wisconsin-Madison, USA",Aditya Akella,"University of Wisconsin-Madison, USA",North America,Male,Male,male
Lili Qiu,2011,Organizing,"University of Texas at Austin, USA",Lili Qiu,"University of Texas at Austin, USA",North America,Female,Female,female
Stratis Ioannidis,2011,Organizing,"Technicolor, France",Stratis Ioannidis,"Technicolor, France",Europe,Male,Male,unknown
Nicolas Christin,2011,Organizing,"Carnegie Mellon University, USA",Nicolas Christin,"Carnegie Mellon University, USA",North America,Male,Male,male
Kenjiro Cho,2011,Organizing,"IIJ Research Laboratory, Japan",Kenjiro Cho,"IIJ Research Laboratory, Japan",Asia,Male,Male,male
Arun Venkataramani,2011,Organizing,"University of Massachusetts, USA",Arun Venkataramani,"University of Massachusetts, USA",North America,Male,Male,male
Giorgio Ventre,2011,Organizing,"University of Napoli, Italy",Giorgio Ventre,"University of Napoli, Italy",Europe,,,male
Georgios Smaragdakis,2011,Organizing,"Deutsche Telekom Labs & TU Berlin, Germany",Georgios Smaragdakis,"Deutsche Telekom Labs & TU Berlin, Germany",Europe,Male,Male,male
Stefan Saroiu,2011,Organizing,Microsoft Research,Stefan Saroiu,Microsoft Research,North America,Male,Male,male
Jaudelice de Oliveira,2011,Organizing,"Drexel University, USA",Jaudelice de Oliveira,"Drexel University, USA",North America,Female,Female,unknown
Lars Eggert,2012,Organizing,"NetApp, Germany",Lars Eggert,"NetApp, Germany",Europe,Male,Male,male
Jörg Ott,2012,Organizing,"Aalto University, Finland",Jörg Ott,"Aalto University, Finland",Europe,,,male
Venkat Padmanabhan,2012,Organizing,"Microsoft Research, India",Venkat Padmanabhan,"Microsoft Research, India",Asia,,Male,male
George Varghese,2012,Organizing,"UCSD, USA",George Varghese,"UCSD, USA",North America,Male,Male,male
Jussi Kangasharju,2012,Organizing,"University of Helsinki, Finland",Jussi Kangasharju,"University of Helsinki, Finland",Europe,Male,Male,male
Jukka Manner,2012,Organizing,"Aalto University, Finland",Jukka Manner,"Aalto University, Finland",Europe,,,male
Joe Touch,2012,Organizing,"USC/ISI, USA",Joe Touch,"USC/ISI, USA",North America,,,male
Dina Katabi,2012,Organizing,"MIT, USA",Dina Katabi,"MIT, USA",North America,Female,Female,female
Jitendra Padhye,2012,Organizing,"Microsoft Research, USA",Jitendra Padhye,"Microsoft Research, USA",North America,Male,Male,unknown
Kevin Almeroth,2012,Organizing,"University of California, Santa Barbara, USA",Kevin Almeroth,"University of California, Santa Barbara, USA",North America,,Male,male
Colin Perkins,2012,Organizing,"University of Glasgow, UK",Colin Perkins,"University of Glasgow, UK",Europe,,,male
Andrea Passarella,2012,Organizing,"CNR IIT, Italy",Andrea Passarella,"CNR IIT, Italy",Europe,,,female
Ryuji Wakikawa,2012,Organizing,"Toyota ITC, USA/Japan",Ryuji Wakikawa,"Toyota ITC, USA/Japan",Asia,,,male
Marcelo Bagnulo,2012,Organizing,"Universidad Carlos III de Madrid, Spain",Marcelo Bagnulo,"Universidad Carlos III de Madrid, Spain",Europe,,,male
Polly Huang,2012,Organizing,"National Taiwan University, Taiwan",Polly Huang,"National Taiwan University, Taiwan",Asia,Female,Female,female
